"filename", "language", "YAML", "JSON", "Markdown", "Dart", "Properties", "XML", "Gradle", "comment", "blank", "total"
"d:\Flutter\projects\chatbox\lib\screens\chat\contact_info_screen.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 2, 52
"d:\Flutter\projects\chatbox\lib\screens\chat\widgets\chat_app_bar.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 3, 63
"d:\Flutter\projects\chatbox\lib\screens\chat\widgets\chat_card.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 2, 2, 46
"d:\Flutter\projects\chatbox\lib\screens\chat\widgets\chat_message_bubble.dart", "Dart", 0, 0, 0, 72, 0, 0, 0, 0, 5, 77
"d:\Flutter\projects\chatbox\lib\screens\chat\widgets\chat_message_list.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"d:\Flutter\projects\chatbox\lib\screens\chat\widgets\input_bar.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 3, 66
"d:\Flutter\projects\chatbox\lib\screens\chat\widgets\svg_icon_botton.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\Flutter\projects\chatbox\lib\screens\contacts\contacts_builder.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"d:\Flutter\projects\chatbox\lib\screens\groups\creat_group_screen.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 3, 96
"d:\Flutter\projects\chatbox\lib\screens\groups\group_member_screen.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 3, 96
"d:\Flutter\projects\chatbox\lib\screens\groups\group_room.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"d:\Flutter\projects\chatbox\lib\screens\groups\groups_builder.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"d:\Flutter\projects\chatbox\lib\screens\home\home_page.dart", "Dart", 0, 0, 0, 137, 0, 0, 0, 2, 8, 147
"d:\Flutter\projects\chatbox\lib\screens\home\widgets\app_bar_icon.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 1, 2, 38
"d:\Flutter\projects\chatbox\lib\screens\home\widgets\bottom_nav_bar.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 4, 66
"d:\Flutter\projects\chatbox\lib\screens\home\widgets\home_app_bar.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\Flutter\projects\chatbox\lib\screens\home\widgets\mybox.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"d:\Flutter\projects\chatbox\lib\screens\home\widgets\profile_icon.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\Flutter\projects\chatbox\lib\screens\profile_screen.dart", "Dart", 0, 0, 0, 150, 0, 0, 0, 0, 10, 160
"d:\Flutter\projects\chatbox\lib\screens\qrcode_screen.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
"d:\Flutter\projects\chatbox\lib\screens\search_screen.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"d:\Flutter\projects\chatbox\lib\screens\settings\option.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 2, 3, 47
"d:\Flutter\projects\chatbox\lib\screens\settings\settings_screen.dart", "Dart", 0, 0, 0, 120, 0, 0, 0, 1, 5, 126
"d:\Flutter\projects\chatbox\lib\services\firebase_services\firebase_auth.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\Flutter\projects\chatbox\lib\services\firebase_services\firebase_database.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"d:\Flutter\projects\chatbox\lib\services\firebase_services\firebase_error_handler.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"d:\Flutter\projects\chatbox\lib\services\firebase_services\firebase_options.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 12, 3, 63
"d:\Flutter\projects\chatbox\lib\utils\borders.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"d:\Flutter\projects\chatbox\lib\utils\colors.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\Flutter\projects\chatbox\lib\utils\constes.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\Flutter\projects\chatbox\lib\utils\keys.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Flutter\projects\chatbox\lib\utils\size_confing.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 1, 4, 20
"d:\Flutter\projects\chatbox\lib\utils\space_widget.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\Flutter\projects\chatbox\lib\utils\svgs.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 101, 52, 206
"d:\Flutter\projects\chatbox\native_splach.yaml", "YAML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Flutter\projects\chatbox\pubspec.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 15, 55
"Total", "-", 53, 30, 10, 3150, 8, 302, 71, 293, 432, 4349
